"CBSA
Code",Geographic area,Legal/statistical area description,2010 Census,Census 2000,Number,Percent
10180,"Abilene, TX",Metropolitan Statistical Area,"165,252","160,245","5,007",3.1
10420,"Akron, OH",Metropolitan Statistical Area,"703,200","694,960","8,240",1.2
10500,"Albany, GA",Metropolitan Statistical Area,"157,308","157,833",-525,-0.3
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"870,716","825,875","44,841",5.4
10740,"Albuquerque, NM",Metropolitan Statistical Area,"887,077","729,649","157,428",21.6
10780,"Alexandria, LA",Metropolitan Statistical Area,"153,922","145,035","8,887",6.1
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,"821,173","740,395","80,778",10.9
11020,"Altoona, PA",Metropolitan Statistical Area,"127,089","129,144","-2,055",-1.6
11100,"Amarillo, TX",Metropolitan Statistical Area,"249,881","226,522","23,359",10.3
11180,"Ames, IA",Metropolitan Statistical Area,"89,542","79,981","9,561",12.0
11260,"Anchorage, AK",Metropolitan Statistical Area,"380,821","319,605","61,216",19.2
11300,"Anderson, IN",Metropolitan Statistical Area,"131,636","133,358","-1,722",-1.3
11340,"Anderson, SC",Metropolitan Statistical Area,"187,126","165,740","21,386",12.9
11460,"Ann Arbor, MI",Metropolitan Statistical Area,"344,791","322,895","21,896",6.8
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,"118,572","112,249","6,323",5.6
11540,"Appleton, WI",Metropolitan Statistical Area,"225,666","201,602","24,064",11.9
11700,"Asheville, NC",Metropolitan Statistical Area,"424,858","369,171","55,687",15.1
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,"192,541","166,079","26,462",15.9
12060,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,"5,268,860","4,247,981","1,020,879",24.0
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,"274,549","252,552","21,997",8.7
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,"140,247","115,092","25,155",21.9
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"556,877","499,684","57,193",11.4
